Designator,Footprint,Quantity,Value,LCSC Part #
"J1_2, J1",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,Substructure Power,
"J2_2, J2",PinHeader_2x10_P2.00mm_Vertical,2,Pogo Pins,
J8,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,1,Buttons,
SW1,SW_PUSH_6mm_H5mm,1,0,
SW2,SW_PUSH_6mm_H5mm,1,1,
SW3,SW_PUSH_6mm_H5mm,1,2,
SW4,SW_PUSH_6mm_H5mm,1,3,
"U1_2, U1",FFC-4-0.5,2,Substructure,
